ftype,fcode,hydrographic_status,permanent_identifier,gnis_name,gnis_id,fdate,elevation,reachcode,county,area_ha,area_km2
390 (Lake/Pond),39009,Perennial; Average Water Elevation,135653254,Shirley Millpond,01479617,2021-12-29T12:21:35Z,8.8,02080206002157,Henrico,1.75,0.21
390 (Lake/Pond),39004,Perennial,135652514,Youngs Pond,01502122,2005-05-17T10:38:33Z,NA,02080206002437,Richmond City,1.74,0.02
390 (Lake/Pond),39004,Perennial,135652651,NA,NA,2005-05-17T10:42:00Z,NA,02080206002081,Henrico,1.74,0.02
390 (Lake/Pond),39004,Perennial,135652648,NA,NA,2005-05-17T10:41:55Z,NA,02080206002480,Henrico,1.74,0.02
390 (Lake/Pond),39004,Perennial,61495487,NA,NA,2002-11-15T00:00:00Z,NA,02080207008440,Chesterfield,1.74,0.02
390 (Lake/Pond),39004,Perennial,61496117,NA,NA,2002-11-15T00:00:00Z,NA,02080207008706,Chesterfield,1.74,0.02
390 (Lake/Pond),39004,Perennial,135653230,NA,NA,2005-05-17T10:56:01Z,NA,02080206002158,Henrico,1.72,0.02
390 (Lake/Pond),39004,Perennial,135653428,NA,NA,2005-05-17T11:00:44Z,NA,02080206015388,Chesterfield,1.7,0.02
390 (Lake/Pond),39004,Perennial,61495219,NA,NA,2002-11-15T00:00:00Z,NA,02080207008316,Chesterfield,1.69,0.02
390 (Lake/Pond),39004,Perennial,62588910,NA,NA,2002-11-27T00:00:00Z,NA,02080205005103,Henrico,1.69,0.02
390 (Lake/Pond),39004,Perennial,61495791,NA,NA,2002-11-15T00:00:00Z,NA,02080207002467,Chesterfield,1.68,0.02
390 (Lake/Pond),39004,Perennial,61496677,NA,NA,2002-11-15T00:00:00Z,NA,02080207008950,Chesterfield,1.66,0.02
390 (Lake/Pond),39004,Perennial,62589604,NA,NA,2002-11-27T00:00:00Z,NA,02080205005318,Chesterfield,1.65,0.02
390 (Lake/Pond),39004,Perennial,135652452,NA,NA,2005-05-17T10:36:55Z,NA,02080206002041,Henrico,1.65,0.02
390 (Lake/Pond),39004,Perennial,135652699,NA,NA,2005-05-17T10:43:06Z,NA,02080206002090,Henrico,1.65,0.02
